qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.0021584033966064453,0.002141237258911133,0.0015838146209716797,0.0018117427825927734,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.015377521514892578,0.0012371540069580078,0.0
0.0,0.0,0.0,0.0,0.0,0.014570474624633789,0.0
0.0,0.0,0.0,0.0,0.0,0.015631675720214844,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.01641702651977539
0.004996776580810547,0.002056598663330078,0.002019166946411133,0.001967191696166992,0.001993417739868164,0.002980470657348633,0.0009999275207519531
0.0020012855529785156,0.0030546188354492188,0.001981019973754883,0.0019943714141845703,0.001993417739868164,0.0029926300048828125,0.002007722854614258
0.0016293525695800781,0.0029938220977783203,0.0019893646240234375,0.0019927024841308594,0.0019965171813964844,0.0019905567169189453,0.0019385814666748047
0.0020520687103271484,0.001989603042602539,0.00017547607421875,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.016353607177734375,0.0020270347595214844,0.0025548934936523438,0.0010211467742919922
0.002118825912475586,0.0020241737365722656,0.0,0.0,0.0,0.0,0.0
0.0,0.015707015991210938,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01555013656616211,0.0,0.0,0.0,0.0
0.0,0.0,0.015621423721313477,0.001504659652709961,0.0,0.0,0.0
0.0,0.0,0.0,0.01450347900390625,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01596522331237793,0.004597187042236328,0.0010020732879638672
0.0033881664276123047,0.0021522045135498047,0.0021505355834960938,0.002161264419555664,0.0023202896118164062,0.0021381378173828125,0.0010671615600585938
0.00201416015625,0.002141714096069336,0.0021398067474365234,0.002147674560546875,0.002228975296020508,0.0021011829376220703,0.0010042190551757812
0.002978801727294922,0.0019893646240234375,0.001995563507080078,0.001996278762817383,0.003989696502685547,0.0019812583923339844,0.000997304916381836
0.002260923385620117,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.015613317489624023,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.015697240829467773,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.015624046325683594,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.015614986419677734,0.0,0.0
0.0,0.0,0.01556086540222168,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.017333507537841797,0.0021462440490722656,0.0020928382873535156,0.0024259090423583984
0.0021431446075439453,0.002148866653442383,0.002134561538696289,0.002212047576904297,0.002190828323364258,0.0026311874389648438,0.0007658004760742188
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01506805419921875,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.015857458114624023,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.015552282333374023,0.0,0.0,0.0,0.0
0.0,0.0,0.01632213592529297,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.015817642211914062,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01559901237487793,0.0,0.003504037857055664
0.0,0.0,0.0,0.0,0.0,0.012004852294921875,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.016248226165771484
